item_name,text,Type,Answers,Values,Optional,side_text,
ac_self_confidence,I have high confidence in my academic ability,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Not very true of me|Very true of me,
self_esteem_single,I have high self-esteem,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Not very true of me|Very true of me,
work_ethic,How dedicated are you to your work?,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Not at all dedicated|Extremely dedicated,
self_oriented_perfectionism,I must work to my full potential at all times,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Not at all true of me|Extremely true of me,
socioeconomic_bg,"Please estimate what the income was for your household while growing up (in thousands, e.g. £15000 would be ""15""). This question is optional",number,,,yes,,
supportive_household,How supportive was your household of you when you were growing up?,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Not at all true of me|Extremely true of me,
emotional_sensitivity,How much are your emotions influenced by other people?,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Not at all influenced |Extremely influenced,
resilience_item,"How much do you agree with the statement: ""Making mistakes really hurts my confidence""?",likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Not at all true of me|Extremely true of me,
optmism_pessimism,How optimistic/pessimistic are you?,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Extremely Pessimistic|Extremely Optimistic,
narcissism_item,"To what extent do you agree with this statement: I am a narcissist. (Note: The word ‘narcissist’ means egotistical, self-focused, and vain.)” (1 == not true of me, 11 == very true of me)",likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Not at all true of me|Extremely true of me,
mood_today,How happy or sad are you feeling today?,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,No,Extremely Sad|Extremely Happy,
,,,,,,,