item_name,text,type,answers,values,score: TAS-26,"optional ",btn_width,
instructions1,"<span style='color:#006699'><span style='font-size:20px'>Using the scale provided as a guide, indicate how much you agree or disagree with each of the following statements. Give only one answer for each statement:</span></span>",instruct,,,,,,
tas1,When I cry I always know why,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas2,Daydreaming is a waste of time,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,r1,no,100px,
tas3,I wish I were not so shy,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas4,I am often confused about what emotion I am feeling,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas5,"I often daydream about the future ",likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas6,I seem to make friends as easily as others do,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas7,Knowing the answers to problems is more important than knowing the reasons for the answers,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas8,It is difficult for me to know the right words for my feelings,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,r1,no,100px,
tas9,I like to let people know where I stand on things,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas10,I have physical sensations that even doctors don't understand,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,r1,no,100px,
tas11,"It is not enough for me that something get the job done; I need to know why and how it works ",likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas12,"I am able to describe my feelings easily ",likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas13,"I prefer to analyse problems rather than just describe them ",likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas14,"When I am upset, I don't know if I am sad, frighened, or angry",likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas15,I use my imagination a great day,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas16,I spend much time daydreaming whenever I have nothing else to do,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas17,I am often puzzled by sensations in my body,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas18,"I daydream rarely ",likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,r1,no,100px,
tas19,I prefer just to let things happen than to understand why they turned out this way,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas20,I have feelings that I can't quite identify,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas21,Being in touch with emotions is essential,likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,1,no,100px,
tas22,"I find it hard to describe how I feel about people ",likert,strongly disagree|moderately disagree|neither disagree nor agree|moderately agree|strongly agree,0|1|2|3|4,r1,no,100px,
,,,,,,,,