left_video,right_video,left_locks,right_locks,lock_diff_on_left,
../User/Stimuli/cam/illusion1-converted.mp4,../User/Stimuli/cam/Noillusion1-converted.mp4,1,1,0,
../User/Stimuli/cam/illusion2-converted.mp4,../User/Stimuli/cam/Noillusion2-converted.mp4,1,1,0,
../User/Stimuli/cam/illusion3-converted.mp4,../User/Stimuli/cam/Noillusion3_low.mp4,1,2,-1,
../User/Stimuli/cam/illusion4-converted.mp4,../User/Stimuli/cam/Noillusion4-converted.mp4,1,2,-1,
../User/Stimuli/cam/illusion5-converted.mp4,../User/Stimuli/cam/Noillusion5-converted.mp4,1,2,-1,
../User/Stimuli/cam/illusion1-converted.mp4,../User/Stimuli/cam/Noillusion1-converted.mp4,1,3,-2,
../User/Stimuli/cam/illusion2-converted.mp4,../User/Stimuli/cam/Noillusion2-converted.mp4,1,3,-2,
../User/Stimuli/cam/illusion3-converted.mp4,../User/Stimuli/cam/Noillusion3_low.mp4,1,3,-2,
../User/Stimuli/cam/illusion4-converted.mp4,../User/Stimuli/cam/Noillusion4-converted.mp4,1,3,-2,
../User/Stimuli/cam/illusion5-converted.mp4,../User/Stimuli/cam/Noillusion5-converted.mp4,1,3,-2,
../User/Stimuli/cam/illusion1-converted.mp4,../User/Stimuli/cam/Noillusion1-converted.mp4,1,3,-2,
../User/Stimuli/cam/illusion2-converted.mp4,../User/Stimuli/cam/Noillusion2-converted.mp4,2,1,1,
../User/Stimuli/cam/illusion3-converted.mp4,../User/Stimuli/cam/Noillusion3_low.mp4,2,1,1,
../User/Stimuli/cam/illusion4-converted.mp4,../User/Stimuli/cam/Noillusion4-converted.mp4,2,1,1,
../User/Stimuli/cam/illusion5-converted.mp4,../User/Stimuli/cam/Noillusion5-converted.mp4,2,2,0,
../User/Stimuli/cam/illusion1-converted.mp4,../User/Stimuli/cam/Noillusion1-converted.mp4,2,2,0,
../User/Stimuli/cam/illusion2-converted.mp4,../User/Stimuli/cam/Noillusion2-converted.mp4,2,3,-1,
../User/Stimuli/cam/illusion3-converted.mp4,../User/Stimuli/cam/Noillusion3_low.mp4,2,3,-1,
../User/Stimuli/cam/illusion4-converted.mp4,../User/Stimuli/cam/Noillusion4-converted.mp4,2,3,-1,
../User/Stimuli/cam/illusion5-converted.mp4,../User/Stimuli/cam/Noillusion5-converted.mp4,3,1,2,
../User/Stimuli/cam/illusion1-converted.mp4,../User/Stimuli/cam/Noillusion1-converted.mp4,3,1,2,
../User/Stimuli/cam/illusion2-converted.mp4,../User/Stimuli/cam/Noillusion2-converted.mp4,3,1,2,
../User/Stimuli/cam/illusion3-converted.mp4,../User/Stimuli/cam/Noillusion3_low.mp4,3,1,2,
../User/Stimuli/cam/illusion4-converted.mp4,../User/Stimuli/cam/Noillusion4-converted.mp4,3,1,2,
../User/Stimuli/cam/illusion5-converted.mp4,../User/Stimuli/cam/Noillusion5-converted.mp4,3,1,2,
../User/Stimuli/cam/illusion1-converted.mp4,../User/Stimuli/cam/Noillusion1-converted.mp4,3,2,1,
../User/Stimuli/cam/illusion2-converted.mp4,../User/Stimuli/cam/Noillusion2-converted.mp4,3,2,1,
../User/Stimuli/cam/illusion3-converted.mp4,../User/Stimuli/cam/Noillusion3_low.mp4,3,2,1,
../User/Stimuli/cam/illusion4-converted.mp4,../User/Stimuli/cam/Noillusion4-converted.mp4,3,3,0,
../User/Stimuli/cam/illusion5-converted.mp4,../User/Stimuli/cam/Noillusion5-converted.mp4,3,3,0,
../User/Stimuli/cam/Noillusion1-converted.mp4,../User/Stimuli/cam/illusion1-converted.mp4,1,1,0,
../User/Stimuli/cam/Noillusion2-converted.mp4,../User/Stimuli/cam/illusion2-converted.mp4,1,1,0,
../User/Stimuli/cam/Noillusion3_low.mp4,../User/Stimuli/cam/illusion3-converted.mp4,1,2,-1,
../User/Stimuli/cam/Noillusion4-converted.mp4,../User/Stimuli/cam/illusion4-converted.mp4,1,2,-1,
../User/Stimuli/cam/Noillusion5-converted.mp4,../User/Stimuli/cam/illusion5-converted.mp4,1,2,-1,
../User/Stimuli/cam/Noillusion1-converted.mp4,../User/Stimuli/cam/illusion1-converted.mp4,1,3,-2,
../User/Stimuli/cam/Noillusion2-converted.mp4,../User/Stimuli/cam/illusion2-converted.mp4,1,3,-2,
../User/Stimuli/cam/Noillusion3_low.mp4,../User/Stimuli/cam/illusion3-converted.mp4,1,3,-2,
../User/Stimuli/cam/Noillusion4-converted.mp4,../User/Stimuli/cam/illusion4-converted.mp4,1,3,-2,
../User/Stimuli/cam/Noillusion5-converted.mp4,../User/Stimuli/cam/illusion5-converted.mp4,1,3,-2,
../User/Stimuli/cam/Noillusion1-converted.mp4,../User/Stimuli/cam/illusion1-converted.mp4,1,3,-2,
../User/Stimuli/cam/Noillusion2-converted.mp4,../User/Stimuli/cam/illusion2-converted.mp4,2,1,1,
../User/Stimuli/cam/Noillusion3_low.mp4,../User/Stimuli/cam/illusion3-converted.mp4,2,1,1,
../User/Stimuli/cam/Noillusion4-converted.mp4,../User/Stimuli/cam/illusion4-converted.mp4,2,1,1,
../User/Stimuli/cam/Noillusion5-converted.mp4,../User/Stimuli/cam/illusion5-converted.mp4,2,2,0,
../User/Stimuli/cam/Noillusion1-converted.mp4,../User/Stimuli/cam/illusion1-converted.mp4,2,2,0,
../User/Stimuli/cam/Noillusion2-converted.mp4,../User/Stimuli/cam/illusion2-converted.mp4,2,3,-1,
../User/Stimuli/cam/Noillusion3_low.mp4,../User/Stimuli/cam/illusion3-converted.mp4,2,3,-1,
../User/Stimuli/cam/Noillusion4-converted.mp4,../User/Stimuli/cam/illusion4-converted.mp4,2,3,-1,
../User/Stimuli/cam/Noillusion5-converted.mp4,../User/Stimuli/cam/illusion5-converted.mp4,3,1,2,
../User/Stimuli/cam/Noillusion1-converted.mp4,../User/Stimuli/cam/illusion1-converted.mp4,3,1,2,
../User/Stimuli/cam/Noillusion2-converted.mp4,../User/Stimuli/cam/illusion2-converted.mp4,3,1,2,
../User/Stimuli/cam/Noillusion3_low.mp4,../User/Stimuli/cam/illusion3-converted.mp4,3,1,2,
../User/Stimuli/cam/Noillusion4-converted.mp4,../User/Stimuli/cam/illusion4-converted.mp4,3,1,2,
../User/Stimuli/cam/Noillusion5-converted.mp4,../User/Stimuli/cam/illusion5-converted.mp4,3,1,2,
../User/Stimuli/cam/Noillusion1-converted.mp4,../User/Stimuli/cam/illusion1-converted.mp4,3,2,1,
../User/Stimuli/cam/Noillusion2-converted.mp4,../User/Stimuli/cam/illusion2-converted.mp4,3,2,1,
../User/Stimuli/cam/Noillusion3_low.mp4,../User/Stimuli/cam/illusion3-converted.mp4,3,2,1,
../User/Stimuli/cam/Noillusion4-converted.mp4,../User/Stimuli/cam/illusion4-converted.mp4,3,3,0,
../User/Stimuli/cam/Noillusion5-converted.mp4,../User/Stimuli/cam/illusion5-converted.mp4,3,3,0,
,,,,,