Cue,Answer,Match,
S,n,no,
W,n,no,
Q,n,no,
Q,m,yes,
F,n,no,
F,m,yes,
Q,n,no,
K,n,no,
K,m,yes,
B,n,no,
Y,n,no,
Y,m,yes,
Z,n,no,
Z,m,yes,
L,n,no,
Z,n,no,
S,n,no,
S,m,yes,
Y,n,no,
J,n,no,
J,m,yes,
T,n,no,
H,n,no,
P,n,no,
Z,n,no,
P,n,no,
G,n,no,
C,n,no,
G,m,yes,
B,n,no,
J,n,no,
R,n,no,
J,m,yes,
R,m,yes,
N,n,no,
F,n,no,
J,n,no,
H,n,no,
J,m,yes,
V,n,no,
Z,n,no,
V,m,yes,
V,n,no,
K,n,no,
Q,n,no,
K,m,yes,
W,n,no,
K,m,yes,
P,n,no,
S,n,no,
L,n,no,
C,n,no,
S,n,no,
Q,n,no,
C,m,yes,
M,n,no,
V,n,no,
T,n,no,
M,m,yes,
B,n,no,
T,m,yes,
V,n,no,
M,n,no,
V,n,no,
B,n,no,
M,m,yes,
V,m,yes,
X,n,no,
Z,n,no,
Y,n,no,
X,m,yes,
H,n,no,
Y,m,yes,
S,n,no,
W,n,no,
,,,