item_name,text,Type,Answers,Values,Score: aq_soc_stigma,Optional,btn_width,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>Choose one response that best describes how strongly each item applies to you:</span></span>,Instruct,,,,,,
ASS1,Most people believe that people with autism could snap out of it if they wanted.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS2,Most people believe that autism is a sign of personal weakness.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS3,Most people believe that autism is not a real medicall illness.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS4,Most people believe that people with autism are dangerous.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS5,Most people believe that it is best to avoid people with autism so that you don't become autistic yourself.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS6,Most people believe that people with autism are unpredictable.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS7,"If they had autism, most people would not tell anyone.",likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS8,Most people would not employ someone they knew had been autistic.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS9,Most people would not vote for a politician they knew had been autistic.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
,,,,,,,,