item_name,text,Type,Answers,Values,Score: Positive_affect,Score: Negative_affect,Optional,
Instructions1,Please rate how you currently feel. Choose one response that best describes how strongly each item applies to you RIGHT NOW:,Instruct,,,,,,
AQ1,Interested,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ2,Distressed,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ3,Excited,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ4,Upset,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ5,Strong,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ6,Guilty,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ7,Scared,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ8,Hostile,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ9,Enthusiastic,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ10,Proud,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ11,Irritable,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ12,Alert,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ13,Ashamed,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ14,Inspired,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ15,Nervous,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ16,Determined,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ17,Attentive,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ18,Jittery,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
AQ19,Active,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,1,,No,
AQ20,Afraid,likert,Extremely|Quite a bit|Moderately|A little|Very slightly or not at all,1|1|0|-1|-1,,1,No,
,,,,,,,,